Place,Name,NPCs
T1,Lord Protector's Tower (Triboar Hall),"Darathra Shendrel (Lord Protector), clerks, militia messengers"
T2,North Caravan Campground (Helgar's Camp),"Darz Helgar, caravan guards"
T3,"Market Square, Open Market","Merchants, farmers, members of The Twelve (militia)"
T4,Happy Horse Ranch (Karnveller Stables),"Janele Karnveller, stablehands"
T5,"Wainwright's Wagons, Wagon Workshop","Tosker Wainwright, apprentices"
T6,"The Lion's Share (Lionshield Coster), Trade House","Narth Tezrin, Alaestra Ulgar, guards"
T7,"The Triboar Travelers, Caravan Company","Urlam Stockspool, Valken Naspeer"
T8,"The Cart and Coin, Livestock & Gear Yard","Arn & Syreen Widdens, handlers"
T9,"Merivold Pony Park, Pony Breeder",Janna & Leera Merivold
T10,"Northshield House (Urgala's Inn), Comfortable Inn","Urgala Meltimer, Stacee Meltimer, staff"
T11,"Six Windows, Boarding House",Tolmara Hysstryn
T12,"The Talking Troll, Tavern","Kaelen Sarssir, Silvarren Loomshank"
T13,"The Pleasing Platter, Restaurant",Pentavasta & Heltzer Duncask
T14,"Everwyvern House, Luxury Inn","Draven Millovyr, Alivyr Caskajaro"
T15,"The Triboar Arms, Rangers' Tavern","Nemyth (ranger), Zindra Winterbow"
T16,"Boar's Rest (Kolstaag Manor), Residence",Hyuth Kolstaag (NE mage w/4 gargoyles)
T17,"Uldinath's Arms, Inn",Harriet Uldinath
T18,"Foehammer's Forge, Smithy",Ghelryn Foehammer
T19,"Othovir's Harness Shop, Leather Workshop",Othovir
T20,"Triboar Playhouse, Theater",Acting troupe
T21,"Home of the Boars, Harper Lodge",Harper agents
T22,South Caravan Campground,"Drovers, mercenaries"
T23,"Apothecary, Alchemy Shop",Local alchemist
T24,"Gwaeron's Slumber, Sacred Grove",None (militia patrols only)
T25,"Marshaling Field, Military Field",Officers of The Twelve
T26,Scented Candles,Rarovina Ilmandar & Joyvene di'Talia
T27,"Priest's Home, Residence/Shrine","Garmund of Shadowdale (Kelemvor cleric, missing), Olaf (son), Yiriala (ill wife)"
